,doc_id,text,triplets,rel_count,len,new_len,in_len,relations,rel_len
30,37,The Courageous Women of Iran: A Lesson for the World. Nobody knows how the protests in Iran against the mullah regime will end. But the women of Iran have already accomplished more than The Courageous Women of Iran ever could have hoped for. And that deserves our respect.,<triplet> The Courageous Women of Iran <subj> mullah regime <obj> Protest,1,1,1,272,['Protest'],1
31,38,"Unrest in Iran Sends Waves of Uncertainty Across the Region. With each victim in Iran, the question as to how the West should react becomes more pressing. Experts are skeptical that the end is nigh for the regime in Tehran – and the regime in Tehran's nuclear ambitions remain a concern.",<triplet> Experts <subj> the regime in Tehran <obj> Make Public Statement <triplet> Iran <subj> each victim <obj> Assault,2,2,2,287,"['Make Public Statement', 'Assault']",2
32,41,"Why DER SPIEGEL Is Publishing the EU Investigative Report on Pushbacks. The EU border agency Frontex has sought to cover up human rights violations for several years, but an investigation by the European anti-fraud office OLAF has exposed the treatment of refugees at Europe's frontiers. DER SPIEGEL is publishing the EU Investigative Report on Pushbacks in the EU Investigative Report on Pushbacks's entirety.",<triplet> European anti-fraud office OLAF <subj> The EU border agency Frontex <obj> Investigate <triplet> Europe's frontiers <subj> refugees <obj> Coerce,2,2,2,410,"['Investigate', 'Coerce']",2
33,42,Money for Rebels: Tracking Down Blood Gold in the Democratic Republic of Congo. A group of rebels controls the mines in the east of the Democratic Republic of Congo and uses Blood Gold in the Democratic Republic of Congo to finance killings. Blood Gold in the Democratic Republic of Congo often ends up in Europe illegally. DER SPIEGEL is one of the first media outlets to document what is happening on site in the Democratic Republic of Congo.,<triplet> Blood Gold <subj> Rebels <obj> Provide Aid <triplet> DER SPIEGEL <subj> the Democratic Republic of Congo <obj> Make Public Statement <triplet> group of rebels <subj> the mines in the east of the Democratic Republic of Congo <obj> Fight,3,3,3,444,"['Provide Aid', 'Make Public Statement', 'Fight']",3
34,43,"The Divided Village: Mistrust Abounds among the Liberated Residents of The Divided Village. For six months, The Divided Village, was occupied by Russian troops. Initially, there was resistance, but resistance gave way to collaboration and treason. Now liberated, The Divided Village is marked by deep distrust.",<triplet> Russian troops <subj> The Divided Village <obj> Fight,1,1,1,310,['Fight'],1
35,44,"Germany and US Play Out Scenarios of a Nuclear Strike By Russia. The bleaker things look on the battlefield in Ukraine, the more often Russia talks about nuclear bombs. Western governments still think it’s a bluff, but Western governments are nonetheless examining possible scenarios.",<triplet> Germany <subj> US <obj> Consult <triplet> Russia <subj> Scenarios of a Nuclear Strike <obj> Exhibit Military Posture <triplet> Russia <subj> Ukraine <obj> Threaten,3,3,3,284,"['Consult', 'Exhibit Military Posture', 'Threaten']",3
36,45,"Garry Kasparov on the War in Ukraine: ""Everyone Who Is Still in Russia Is Part of the War in Ukraine"". Garry Kasparov believes that the regime of Russian President Vladimir Putin will collapse in spring. In an interview, talks about how dangerous Moscow continues to be and what lies ahead for Russia.",<triplet> Garry Kasparov <subj> Ukraine <obj> Make Public Statement <triplet> Russia <subj> Ukraine <obj> Fight <triplet> Garry Kasparov <subj> the regime of Russian President Vladimir Putin <obj> Make Public Statement <triplet> Garry Kasparov <subj> Moscow <obj> Make Public Statement <triplet> Garry Kasparov <subj> Russia <obj> Make Public Statement,5,5,5,301,"['Make Public Statement', 'Fight', 'Make Public Statement', 'Make Public Statement', 'Make Public Statement']",5
37,46,"Pavel Filatyev: A Russian Soldier Speaks Out about the War in Ukraine. Pavel Filatyev: A Russian Soldier took part in the invasion of Ukraine. the War in Ukraine shocked Pavel Filatyev: A Russian Soldier so badly that Pavel Filatyev: A Russian Soldier risked imprisonment to write an exposé about the moral problems Pavel Filatyev: A Russian Soldier sees in Russia's military action. Pavel Filatyev: A Russian Soldier has since fled to France, where Pavel Filatyev: A Russian Soldier has applied for asylum and is now sharing Pavel Filatyev: A Russian Soldier's story.",<triplet> Pavel Filatyev: A Russian Soldier <subj> Ukraine <obj> Make Public Statement <triplet> Pavel Filatyev: A Russian Soldier <subj> Ukraine <obj> Fight <triplet> Pavel Filatyev: A Russian Soldier <subj> Russia <obj> Disapprove <triplet> France <subj> Pavel Filatyev: A Russian Soldier <obj> Provide Aid,4,4,4,568,"['Make Public Statement', 'Fight', 'Disapprove', 'Provide Aid']",4
38,47,"Right at Home: A Visit to an Abandoned Russian Bulwark Near Kharkiv. The recapture of Lyman was preceded by a Ukrainian offensive in Kharkiv. Apparently fearing a robust advance by the Ukrainians, the Russians abandoned well-constructed defensive strongholds. A visit.",<triplet> Ukrainian offensive <subj> Kharkiv <obj> Fight <triplet> Ukrainians <subj> Russians <obj> Fight,2,2,2,268,"['Fight', 'Fight']",2
39,48,"Interview with Former Italian PM Romano Prodi: “It Would Be Suicide for Meloni to Start a Fight with Brussels"". Former Italian PM Romano Prodi is worried about the future of Italy and the EU after the election victory of Meloni. In an interview, Former Italian PM Romano Prodi warns of a Rome-Budapest axis and explains how best to deal with the right wing.",<triplet> Former Italian PM Romano Prodi <subj> Rome <obj> Make Public Statement <triplet> Former Italian PM Romano Prodi <subj> Budapest <obj> Make Public Statement <triplet> Former Italian PM Romano Prodi <subj> the right wing <obj> Make Public Statement <triplet> Former Italian PM Romano Prodi <subj> Meloni <obj> Make Public Statement <triplet> Former Italian PM Romano Prodi <subj> Brussels <obj> Make Public Statement <triplet> Former Italian PM Romano Prodi <subj> Italy <obj> Make Public Statement <triplet> Former Italian PM Romano Prodi <subj> EU <obj> Make Public Statement,7,7,7,357,"['Make Public Statement', 'Make Public Statement', 'Make Public Statement', 'Make Public Statement', 'Make Public Statement', 'Make Public Statement', 'Make Public Statement']",7
40,49,"Russia's Nuclear Threat: Is Russia's Bluffing the West or the other Way Around? - Editorial. the West never wanted to become a party to Russia's's war against Ukraine. But Russia's's annexation plans and Russia's's nuclear arsenal are now threatening that strategy. From this point on, restraint is the only responsible policy.",<triplet> Russia <subj> Ukraine <obj> Fight <triplet> Russia <subj> the West <obj> Threaten <triplet> Russia <subj> the West <obj> Threaten,3,3,2,327,"['Fight', 'Threaten', 'Threaten']",3
41,51,"French President Macron vows to raise retirement age to 65, up from 62. French President Macron vowed Wednesday to implement a pension reform that would eventually push up retirement age by three years to 65, making younger generations work longer.",<triplet> French President Macron <subj> pension reform <obj> Make Public Statement,1,1,1,248,['Make Public Statement'],1
42,52,"Live: UN 'optimistic' about Ukraine grain deal extension amid Russian reservations. The drop in Russian fossil fuel exports after its Ukraine invasion this year will transform the global energy landscape for decades and can help to hasten a green energy transition, the International Energy Agency (IEA) said on Thursday. Follow our liveblog for the latest developments. All times are Paris time (GMT+2).",<triplet> Russian <subj> Ukraine <obj> Fight <triplet> UN <subj> Ukraine <obj> Make Public Statement <triplet> International Energy Agency (IEA) <subj> Ukraine <obj> Make Public Statement <triplet> International Energy Agency (IEA) <subj> Russian <obj> Make Public Statement,4,4,4,404,"['Fight', 'Make Public Statement', 'Make Public Statement', 'Make Public Statement']",4
43,53,IEA expects global emissions to peak in 2025. IEA said Wednesday IEA believes global emissions will peak in 2025 as surging energy prices due to the Russian invasion of Ukraine propel investment in renewables.,<triplet> Russian <subj> Ukraine <obj> Fight <triplet> IEA <subj> global emissions <obj> Make Public Statement <triplet> IEA <subj> global emissions <obj> Make Public Statement,3,3,2,209,"['Fight', 'Make Public Statement', 'Make Public Statement']",3
44,54,"US special envoy for Iran: 'We're announcing a slew of new sanctions'. In an interview with FRANCE 24, the US special envoy for Iran announced a slew of new sanctions. the US special envoy for Iran was speaking 40 days after the death in police custody of Mahsa Amini, a young woman arrested for improperly wearing her headscarf and whose shocking fate set off a wave of anti-regime demonstrations in Iran.",<triplet> US special envoy <subj> We <obj> Make Public Statement <triplet> We <subj> Iran <obj> Reduce Relations <triplet> demonstrations <subj> Iran <obj> Protest <triplet> the US special envoy <subj> Iran <obj> Reduce Relations,4,4,4,406,"['Make Public Statement', 'Reduce Relations', 'Protest', 'Reduce Relations']",4
45,55,"Clashes erupt between Iranian security forces and protesters marking Mahsa Amini’s death. Iranian security forces opened fire on protesters who massed in their thousands on Wednesday in Mahsa Amini’s's hometown to mark 40 days since Mahsa Amini’s's death, a human rights group said.",<triplet> human rights group <subj> Iranian security forces <obj> Make Public Statement <triplet> human rights group <subj> protesters <obj> Make Public Statement <triplet> Iranian security forces <subj> protesters <obj> Fight <triplet> Iranian security forces <subj> protesters <obj> Fight,4,4,3,282,"['Make Public Statement', 'Make Public Statement', 'Fight', 'Fight']",4
46,56,"As PM Rishi Sunak takes the reins in Britain, hopes for improved France-UK relations. UK-France relations have been marked by tensions ever since Brexit, whether over fishing rights or submarine deals. Will PM Rishi Sunak improve relations with Britain's neighbour and ally across the Channel – and notably French President Emmanuel Macron? We take a look at some of the key similarities, and differences, between the two leaders.",<triplet> France <subj> UK <obj> Engage In Diplomatic Cooperation,1,1,1,430,['Engage In Diplomatic Cooperation'],1
47,57,"UN says world’s climate pledges still ‘nowhere near’ meeting 1.5C goal. world’s's current climate pledges are far off track to limit temperature rises to 1.5 degrees Celsius and will steer world’s towards “catastrophic” warming, UN said Wednesday.",<triplet> UN <subj> world <obj> Make Public Statement <triplet> UN <subj> world <obj> Make Public Statement <triplet> UN <subj> world <obj> Make Public Statement,3,3,1,247,"['Make Public Statement', 'Make Public Statement', 'Make Public Statement']",3
48,59,"Several people killed as gunmen open fire at shrine in Iran’s Shiraz. Several people were killed and several others were injured when gunmen on Wednesday opened fire at a Shiite Muslim shrine in Iran’s Shiraz, state media reported.",<triplet> gunmen <subj> Several people <obj> Fight <triplet> state media <subj> Shiite Muslim shrine in Iran’s Shiraz <obj> Make Public Statement <triplet> state media <subj> Several people <obj> Make Public Statement <triplet> state media <subj> several others <obj> Make Public Statement <triplet> state media <subj> gunmen <obj> Make Public Statement <triplet> gunmen <subj> Several people <obj> Fight <triplet> gunmen <subj> several others <obj> Fight,7,7,6,231,"['Fight', 'Make Public Statement', 'Make Public Statement', 'Make Public Statement', 'Make Public Statement', 'Fight', 'Fight']",7
49,60,"Senate candidate's debate performance raises concerns amongst Democrats. Senate candidate's debate performance fueled concern inside his party on Wednesday, as leaders assessed whether Senate candidate's debate performance would significantly shift a race that could decide control of the US Senate and the future of Joe Biden's presidency.",<triplet> Democrats <subj> Senate candidate <obj> Make Public Statement <triplet> leaders <subj> US Senate <obj> Make Public Statement <triplet> leaders <subj> Joe Biden <obj> Make Public Statement,3,3,3,340,"['Make Public Statement', 'Make Public Statement', 'Make Public Statement']",3
50,62,"Smiles and a handshake as Macron and Germany’s Scholz plaster over differences. Macron and Germany’s Scholz met in Paris with smiles and a handshake on Wednesday, but ignored questions on Macron and Germany’s Scholz's faltering relationship as Macron and Germany’s Scholz headed into the Elysee Palace.",<triplet> Macron <subj> Germany’s Scholz <obj> Express Intent to Cooperate <triplet> Macron <subj> Germany’s Scholz <obj> Consult,2,2,2,302,"['Express Intent to Cooperate', 'Consult']",2
52,64,Italian PM Meloni easily wins 2nd and final confidence vote. Italy’s first far-right-led government since the fall of fascism in World War II can get down to business after Italian PM Meloni easily won 2nd and final confidence vote on Wednesday.,<triplet> confidence vote <subj> Italian PM Meloni <obj> Engage In Diplomatic Cooperation <triplet> confidence vote <subj> Italian PM Meloni <obj> Engage In Diplomatic Cooperation,2,2,1,245,"['Engage In Diplomatic Cooperation', 'Engage In Diplomatic Cooperation']",2
53,66,"EU to crack down on air pollution with tougher laws. EU will on Wednesday propose tougher legal limits on health-damaging dirty air and rules to make pharmaceutical companies pay to clean up wastewater polluted by pharmaceutical companies's products, EU's top environmental official said.",<triplet> EU <subj> pharmaceutical companies <obj> Make Public Statement <triplet> EU's top environmental official <subj> EU <obj> Make Public Statement <triplet> EU's top environmental official <subj> pharmaceutical companies <obj> Make Public Statement,3,3,3,288,"['Make Public Statement', 'Make Public Statement', 'Make Public Statement']",3
54,67,"‘I felt solidarity’: Afghan women monitor Iran protests, vow to continue fight for basic rights. Since the Taliban takeover last year, Afghan women have been demonstrating for Afghan women's right to education and employment. When women in Iran took to the streets after the death of Mahsa Amini in police custody, women in Iran's Afghan sisters immediately began monitoring the protests across the border. As mourners in Iran on Wednesday gathered at Mahsa Amini's grave to mark the 40-day mourning period, Afghan women are hoping for a spillover effect.",<triplet> Afghan women <subj> Iran protests <obj> Make Public Statement <triplet> Afghan women <subj> Taliban <obj> Protest <triplet> Taliban <subj> Afghan women <obj> Coerce <triplet> police <subj> Mahsa Amini <obj> Assault <triplet> women in Iran <subj> police <obj> Protest <triplet> women in Iran's Afghan sisters <subj> women in Iran <obj> Make Public Statement,6,6,6,555,"['Make Public Statement', 'Protest', 'Coerce', 'Assault', 'Protest', 'Make Public Statement']",6
55,69,"Adidas ends partnership with Kanye West over antisemitic comments. Adidas ended a partnership that helped make Kanye West a billionaire and lent Adidas an edgy appeal, but ultimately couldn't survive a mounting outcry over Kanye West's offensive and antisemitic remarks.",<triplet> Adidas <subj> Kanye West <obj> Reduce Relations <triplet> Adidas <subj> Kanye West <obj> Reduce Relations,2,2,1,270,"['Reduce Relations', 'Reduce Relations']",2
56,72,"US lawmakers’ push for talks with Russia gives trust to envoy Antonov’s words — columnist. It is reported that in the letter signed by 30 House Democrats US lawmakers’ called on Biden to pair military and economic support the United States has been providing Ukraine ""with a proactive diplomatic push, redoubling efforts to seek a realistic framework for a cease fire"" and, among other steps, to ""pursue direct negotiations with Russia""",<triplet> 30 House Democrats US lawmakers <subj> Biden <obj> Demand <triplet> United States <subj> Ukraine <obj> Provide Aid <triplet> 30 House Democrats US lawmakers <subj> Russia <obj> Express Intent to Cooperate,3,3,3,436,"['Demand', 'Provide Aid', 'Express Intent to Cooperate']",3
57,73,"UN Secretariat not mandated to monitor compliance with resolution on Iranian nuke program. According to the Russian diplomat Vasily Nebenzya, the UNSC president’s note S/2016/44 entitled ""Security Council tasks under Security Council resolution 2231 (2015) says it clearly that Security Council is authorized to monitor the implementation of resolution on Iranian nuke program",<triplet> Russian diplomat Vasily Nebenzya <subj> UNSC president <obj> Make Public Statement <triplet> Security Council <subj> Iranian nuke program <obj> Investigate,2,2,2,376,"['Make Public Statement', 'Investigate']",2
58,74,"US has been violating UN resolution on Iran since withdrawing from JCPOA in 2018. According to the Russian diplomat Vasily Nebenzya, Western delegations are again demonstrating ""blatant hypocrisy and double standards",<triplet> Russian diplomat Vasily Nebenzya <subj> Western delegations <obj> Disapprove <triplet> US <subj> Iran <obj> Reduce Relations,2,2,2,216,"['Disapprove', 'Reduce Relations']",2
59,75,"Israel hits targets near Damascus, several missiles downed — agency. Some of several missiles were downed by Syrian air defense systems",<triplet> Israel <subj> Damascus <obj> Fight,1,1,1,135,['Fight'],1
60,76,Iranian president pledges retaliation to terrorist attack in Shiraz. Iranian president expressed condolences to the families and loved ones of the victims in terrorist attack in Shiraz,<triplet> Iranian president <subj> terrorist attack in Shiraz <obj> Make Public Statement <triplet> Iranian president <subj> families and loved ones of the victims <obj> Make Public Statement,2,2,2,184,"['Make Public Statement', 'Make Public Statement']",2
62,78,"IRGC intelligence officer shot dead by rioters in western Iran — agency. According to IRNA, IRGC intelligence officer was involved in pursuit of riot instigators",<triplet> rioters <subj> IRGC intelligence officer <obj> Fight <triplet> IRNA <subj> IRGC intelligence officer <obj> Make Public Statement <triplet> IRNA <subj> riot instigators <obj> Make Public Statement <triplet> IRGC intelligence officer <subj> riot instigators <obj> Coerce,4,4,4,161,"['Fight', 'Make Public Statement', 'Make Public Statement', 'Coerce']",4
63,79,"UN assumes Russia has notified US of strategic nuclear forces exercises. As part of the training, a Yars intercontinental ballistic missile was launched from the Plesetsk cosmodrome and a Sineva ballistic missile from the Barents Sea at the Kura test site in Kamchatka",<triplet> Russia <subj> US <obj> Exhibit Military Posture <triplet> UN <subj> Russia <obj> Make Public Statement <triplet> UN <subj> US <obj> Make Public Statement,3,3,3,268,"['Exhibit Military Posture', 'Make Public Statement', 'Make Public Statement']",3
64,80,"Sunni extremists behind attack on mausoleum in southern Iran — news agency. Sunni extremists behind attack on mausoleum in southern Iran took advantage of the recent unrest in the country, the Tasnim’s source said",<triplet> the Tasnim’s source <subj> Sunni extremists <obj> Make Public Statement <triplet> the Tasnim’s source <subj> southern Iran <obj> Make Public Statement <triplet> Sunni extremists <subj> mausoleum <obj> Assault <triplet> Sunni extremists <subj> mausoleum <obj> Assault <triplet> the Tasnim’s source <subj> mausoleum <obj> Make Public Statement,5,5,4,213,"['Make Public Statement', 'Make Public Statement', 'Assault', 'Assault', 'Make Public Statement']",5
65,81,British foreign policy to stay the course under PM Sunak — Russian ambassador to London. It is noted that the same people who were in the government before have been appointed to key positions,<triplet> Russian ambassador <subj> PM Sunak <obj> Make Public Statement,1,1,1,192,['Make Public Statement'],1
66,82,Serbian parliament approves new government led by Ana Brnabic. It is reported that new government led by Ana Brnabic is led by Ana Brnabic,<triplet> Serbian parliament <subj> new government <obj> Engage In Diplomatic Cooperation <triplet> Serbian parliament <subj> Ana Brnabic <obj> Engage In Diplomatic Cooperation,2,2,2,138,"['Engage In Diplomatic Cooperation', 'Engage In Diplomatic Cooperation']",2
67,83,"Peace in Ukraine may be achieved through support for Kiev — Italy’s new PM. Giorgia Meloni called for ""fair peace"" that ""cannot be obtained by waving rainbow flags in squares""",<triplet> Italy’s new PM. Giorgia Meloni <subj> Kiev <obj> Express Intent to Cooperate <triplet> Italy’s new PM. Giorgia Meloni <subj> Ukraine <obj> Make Public Statement,2,2,2,175,"['Express Intent to Cooperate', 'Make Public Statement']",2
