,text,label,entail_prob
39,"""Billionaire Russian banker Oleg Tinkov hope more prominent Russian businessmen will follow Billionaire Russian banker Oleg Tinkov, so it weakens Russia's President Vladimir Putin's regime and Russia's President Vladimir Putin's economy, and put Russia's President Vladimir Putin [sic] eventually to defeat,"" Billionaire Russian banker Oleg Tinkov said in an Instagram post.",<triplet> Billionaire Russian banker Oleg Tinkov <subj> Billionaire Russian banker Oleg Tinkov <obj> Make Public Statement,0.6656628251075745
40,"In a speech that lasted just over two minutes, Brazil's President Jair Bolsonaro neither acknowledged his defeat to leftist rival Luiz Inácio Lula da Silva, nor congratulated leftist rival Luiz Inácio Lula da Silva on leftist rival Luiz Inácio Lula da Silva's victory.",<triplet> leftist rival Luiz Inácio Lula da Silva <subj> leftist rival Luiz Inácio Lula da Silva's victory <obj> Engage In Diplomatic Cooperation,0.8620009422302246
41,"Retired Ukrainian colonel Sergei Grabsky said that ""technically, Russia's can capture Bakhmut, just a kilometre away -- but not in the near future"" and it would be a ""Pyrrhic victory"" because of the heavy losses.",<triplet> Russia <subj> Bakhmut <obj> Coerce,0.695758581161499
42,"During Brazil's Lula's first stint as president, Brazil's Lula managed warm relations both with the United States and leftist allies such as Cuba and Venezuela, but also occasionally irked US officials with Brazil's Lula's ambitions for an international role, including Brazil's Lula's own diplomatic initiative on Iran's nuclear program.",<triplet> US officials <subj> Brazil's Lula's ambitions <obj> Protest,0.7463438510894775
43,"11:16am: Russia to summon British ambassador over Black Sea Fleet drone Russia will summon Britain's ambassador to Moscow over what Russia said was the involvement of British specialists in a Ukrainian drone strike on Russia's Black Sea Fleet in Crimea, the foreign ministry said on Wednesday.",<triplet> Russia <subj> British ambassador <obj> Consult <subj> Black Sea Fleet drone <obj> Consult <subj> Britain's ambassador <obj> Consult,
44,"KYIV: Russia’s defense minister has told Russia’s defense minister's Turkish counterpart that Russia’s has agreed to return to a Turkish and UN brokered deal that allowed the shipment of millions of tons Ukrainian grain through the Black Sea, Turkey’s president says.",<triplet> Russia’s defense minister <subj> Russia’s defense minister's Turkish counterpart <obj> Consult <subj> a Turkish and UN brokered deal <obj> Consult,
45,"While the two bitcoin farms say the two bitcoin farms are cooperating with the US border town of Niagara Falls, Blockfusion had shut down Blockfusion's processors by the end of October and reduced the number of fans running, with US Bitcoin's still running at full capacity, an AFP reporter found.",<triplet> Blockfusion <subj> Blockfusion's processors <obj> Reduce Relations,0.9375497102737427
46,"Cruz, shackled and in a red jail jumpsuit, watched intently as Judge Elizabeth Scherer sentenced Parkland school shooter Nikolas Cruz to 17 life terms for the Feb.",<triplet> Judge Elizabeth Scherer <subj> Parkland school shooter Nikolas Cruz <obj> Coerce,0.9494908452033997
47,"Venezuelan opposition leader Juan Guaidó – recognised by dozens of countries as the victor in 2018 elections claimed by Maduro on Tuesday criticised Colombia's Gustavo Petro's decision ""to visit his Venezuelan counterpart, Nicolás Maduro,. . .  and to call his Venezuelan counterpart, Nicolás Maduro, 'president'. """,<triplet> Venezuelan opposition leader Juan Guaidó <subj> Colombia's Gustavo Petro's decision <obj> Disapprove,0.9927942156791687
48,"Picture: @RishiSunak/twitterBuckingham PalaceLiz TrussRishi SunakCOP27King Charles III Email PrintTweetShareAFP                                            | 02 November 2022 16:20LONDON - Britain's new prime minister Rishi Sunak on Wednesday announced UK's Sunak will join the UN climate conference in Egypt after all, having provoked anger for refusing to attend COP27 in Egypt early into UK's Sunak's tenure.",<triplet> UK's Sunak <subj> the UN climate conference <obj> Consult,0.872215986251831
49,"Before his 11-game NFL suspension for sexual misconduct allegations, Cleveland Browns integrated Cleveland Browns quarterback Deshaun Watson into Cleveland Browns's offence and got Cleveland Browns quarterback Deshaun Watson ready for the season by giving Cleveland Browns quarterback Deshaun Watson the bulk of snaps in training camp practices, so general manager Andrew Berry isn't worried about his 11-game NFL suspension for sexual misconduct allegations affecting Cleveland Browns quarterback Deshaun Watson.",<triplet> Cleveland Browns <subj> Cleveland Browns quarterback Deshaun Watson <obj> Engage In Diplomatic Cooperation <subj> his 11-game NFL suspension <obj> Engage In Diplomatic Cooperation,
50,"In fact, Máximo's public criticism serves Massa's entourage's purposes: Máximo's public criticism allows Massa's entourage to differentiate Massa's entourage from Argentina’s vice-president.",<triplet> Máximo's public criticism <subj> Massa's entourage's purposes <obj> Engage In Material Cooperation,0.9452932476997375
51,"During Luiz Inácio Lula da Silva's first stint as president, Luiz Inácio Lula da Silva managed warm relations both with the United States and leftist allies such as Cuba and Venezuela, but also occasionally irked US officials with Luiz Inácio Lula da Silva's ambitions for an international role, including Luiz Inácio Lula da Silva's own diplomatic initiative on Iran's nuclear program.",<triplet> US officials <subj> Luiz Inácio Lula da Silva's ambitions <obj> Protest,0.5926844477653503
52,But the ultimate aim is not just to threaten South Korea and Japan.,<triplet> South Korea <subj> Japan <obj> Threaten,0.8250123858451843
53,"Political leaders around the world have congratulated Lula on Lula's victory, with the White House commending Lula for winning ""free, fair and credible elections. """,<triplet> Lula <subj> Lula's victory <obj> Engage In Diplomatic Cooperation <triplet> the White House <subj> Lula <obj> Engage In Diplomatic Cooperation,
54,Some Republicans sharply criticised Biden's remarks.,<triplet> Some Republicans <subj> Biden's remarks <obj> Disapprove,0.9934791326522827
55,Pyongyang has punctuated Pyongyang's tests with an escalatory nuclear doctrine that authorises preemptive nuclear attacks over a variety of loosely defined crisis situations.,<triplet> Pyongyang <subj> Pyongyang's tests <obj> Make Public Statement,0.5735549330711365
56,"Speaking about the following launches of another two missiles, Japanese Defense Minister Yasukazu Hamada noted that another two missiles were fired from North Korea's eastern part and landed in the Sea of Japan.",<triplet> Japanese Defense Minister Yasukazu Hamada <subj> North Korea's eastern part <obj> Make Public Statement,0.9124173521995544
57,"Japan’s government has figured out that the first missile launched by North Korea on Thursday did not fly through Japan’s government's airspace, the NHK TV channel reported citing the Japanese Defense Ministry.",<triplet> Japan’s government <subj> Japan’s government's airspace <obj> Make Public Statement,0.7474599480628967
58,"WATCH | U. S.  President Joe Biden goes after those who condone political violence: 'Silence is complicity,' says U. S.  President Joe Biden days agoDuration 0:47'There's an alarming rise in the number of people in America's condoning political violence or simply remaining silent,' U. S.  President Joe Biden warned American voters in a speech Wednesday, ahead of next Tuesday's midterms.",<triplet> President Joe Biden <subj> President Joe Biden <obj> Make Public Statement,0.6316047310829163
59,""" President Joe Biden's dire warning of threats to democracy comes six days ahead of Tuesday's vote, in which Republicans are heavily favored to capture the House of Representatives and possibly the Senate.",<triplet> the House <subj> possibly the Senate <obj> Coerce,0.9686803221702576
60,"""Biden's dire warning of threats to democracy comes six days ahead of Tuesday's vote, in which Republicans are heavily favored to capture the House of Representatives and possibly the Senate.",<triplet> the House <subj> possibly the Senate <obj> Coerce,0.9596509337425232
61,"Once a group of three women - which included an aunt visiting from another town - and five children returned, Savita Ben's aunt persuaded Savita Ben to go with an aunt on a pedestrian bridge.",<triplet> Savita Ben's aunt <subj> Savita Ben <obj> Engage In Diplomatic Cooperation,0.7437945008277893
62,"When actress Halle Berry became the first black woman to win a best actress Oscar in 2002, actress Halle Berry cited Actress Lena Horne as a pioneer who had paved the way for actress Halle Berry's breakthrough.",<triplet> actress Halle Berry <subj> Actress Lena Horne <obj> Make Public Statement,0.7259082198143005
63,"“Then we would have Russia’s either agreeing to a UN Security Council resolution – which would make it very complicated to suspend participation – or Russia’s would have to veto a resolution that could, for example, be tabled by an African member,” Michel Yakovleff, former chief of staff at NATO’s Supreme Headquarters Allied Powers Europe (SHAPE) noted.",<triplet> Michel Yakovleff <subj> a UN Security Council resolution <obj> Make Public Statement,0.8397060632705688
64,"© FRANCE 24 screenshot  9:10pm: Ukraine's Zelensky expects to ""open new page in cooperation"" with Zelensky congratulated Benjamin Netanyahu on Thursday for winning the Israeli election and said Zelensky expected to ""open a new page in cooperation"" with the new government.",<triplet> Zelensky <subj> Benjamin Netanyahu <obj> Engage In Diplomatic Cooperation,0.7351387739181519
65,"1:59pm: Switzerland rejects Germany’s appeal to allow Switzerland to export Swiss-made ammunition to Ukraine has again rejected an appeal from Germany’s to allow Switzerland to re-export Swiss-made ammunition to Ukraine, Switzerland said on Thursday.",<triplet> Switzerland <subj> Swiss-made ammunition <obj> Provide Aid <triplet> Swiss-made ammunition <subj> Ukraine <obj> Provide Aid,
66,"10:46am: Foreign Minister Sergei Lavrov calls on UN to fulfil parts of grain deal intended to ease Russian exportsMoscow on Thursday urged the United Nations, which sponsored a deal to free Ukraine's grain shipments from a Russian blockade of Ukraine's Black Sea ports, to help fulfil the parts of grain deal intended to ease Russia's food and fertilizer exports.",<triplet> Ukraine's grain shipments <subj> a Russian blockade <obj> Make Public Statement,0.8348367214202881
67,"Scholz, who will visit China on Friday, will be the first European leader to visit China since Russia's invasion of Ukraine, which Germany has strongly opposed.",<triplet> China <subj> Russia's invasion <obj> Consult,0.5721424221992493
68,"BEIJING: Canada's public broadcaster's last the country correspondent, Sasa Petricic, returned to Canada's after the country locked down over the Covid-19 pandemic, and BEIJING: Canada's public broadcaster has only been able to return once for the February 2022 Winter Olympics in the country, its 2022 report said.",<triplet> Canada's public broadcaster's last the country correspondent <subj> Canada <obj> Consult <subj> BEIJING <obj> Consult,
69,"In response, North Korea called this decision dangerous, promising to Washington and Seoul that Washington and Seoul will learn that ""Washington and Seoul have committed an irreversible mistake"".",<triplet> Washington <subj> Seoul <obj> Consult,0.8985952138900757
70,Israeli Prime Minister Yair Lapid has congratulated Benjamin Netanyahu on Benjamin Netanyahu's victory in Tuesday's general election.,<triplet> Israeli Prime Minister Yair Lapid <subj> Benjamin Netanyahu's victory <obj> Engage In Diplomatic Cooperation,0.7078374028205872
71,Israeli Prime Minister Yair Lapid congratulated Benjamin Netanyahu on Benjamin Netanyahu's victory Thursday.,<triplet> Israeli Prime Minister Yair Lapid <subj> Benjamin Netanyahu <obj> Engage In Diplomatic Cooperation <subj> Benjamin Netanyahu's victory <obj> Engage In Diplomatic Cooperation,
72,"Tel Aviv, Israel: Israel Prime Minister Yair Lapid has congratulated Benjamin Netanyahu on Benjamin Netanyahu's election win as final results confirmed Benjamin Netanyahu's triumphant comeback at the head of a solidly right-wing alliance.",<triplet> Israel Prime Minister Yair Lapid <subj> Benjamin Netanyahu's election win <obj> Engage In Diplomatic Cooperation,0.6447859406471252
73,"Changpeng Zhao, its chief executive, also criticised Twitter for having been slow to roll out new features, given its level of staffing.",<triplet> Changpeng Zhao <subj> Twitter <obj> Disapprove,0.6950995922088623
74,"For Donald Trump's part, Donald Trump has teased for months about a potential third campaign for the White House.",<triplet> Donald Trump <subj> Donald Trump's part <obj> Yield,0.7129819989204407
75,"Potential Republican rivals include Donald Trump's former Vice-President Mike Pence and Florida Governor Ron DeSantis, among others.",<triplet> Potential Republican rivals <subj> Donald Trump's former Vice-President <obj> Yield,0.7544361352920532
76,"(Joe Skipper/new owner Elon Musk, is looking to cut around 3,700 Twitter staff, or about half the workforce, as new owner Elon Musk seeks to slash costs and impose a demanding new work ethic, according to internal plans reviewed by Reuters this week.","<triplet> new owner Elon Musk <subj> around 3,700 Twitter staff <obj> Reduce Relations",0.8808791637420654
77,Silver added Silver will be meeting with Kyrie Irving in person within the next week.,<triplet> Silver <subj> Kyrie Irving <obj> Engage In Material Cooperation,0.8625635504722595
78,fellow Casa Rosada hopeful Patricia Bullrich bitesThe comments came less than a day after fellow Casa Rosada hopeful Patricia Bullrich criticised fellow Casa Rosada hopeful Patricia Bullrich's fellow party peer harshly in the media.,<triplet> fellow Casa Rosada hopeful Patricia Bullrich <subj> fellow Casa Rosada hopeful Patricia Bullrich's fellow party peer <obj> Disapprove,0.6452178359031677
79,Twitter says layoffs to begin on Friday                                            Twitter employees have been bracing for this kind of bad news since Musk completed Musk's mammoth $44 billion acquisition late last week and quickly set about dissolving Twitter's board and firing Twitter's chief executive and top managers.,<triplet> Musk <subj> Musk's mammoth $44 billion acquisition <obj> Consult,0.8290594816207886
80,"Crimean bridge attack highlights Russian setbacks in Ukraine7pm: US's's Sullivan visits Kyiv, says 'unwavering' support to continueNational Security Advisor Jake Sullivan said during a visit to Kyiv on Friday that US support to Ukraine would remain ""unwavering and unflinching"" following Tuesday's midterm congressional elections.",<triplet> US's's Sullivan <subj> Kyiv <obj> Consult,0.9356187582015991
81,"5:04pm: US's to send $400 million more to Ukraine in military aidThe US is sending Ukraine $400 million more in military aid and establishing a security assistance headquarters in Germany that will oversee all weapons transfers and military training for Ukraine, the Pentagon announced Friday.",<triplet> US <subj> Ukraine <obj> Provide Aid,0.9944995641708374
82,"a security assistance headquarters in Germany that will oversee all weapons transfers and military training for Ukraine, signals a more permanent, long-term program to continue to aid Kyiv in Kyiv's fight against Russia, the Pentagon spokeswoman Sabrina Singh told reporters at the Pentagon. &gt;&gt;",<triplet> Kyiv <subj> Kyiv's fight <obj> Engage In Material Cooperation,0.6860266327857971
83,"11:18am: Russian families bemoan Ukraine military draft 'chaos'Seething with anger, Russian beautician Tatyana describes the Kremlin's military mobilisation as ""complete horror. """,<triplet> Russian families <subj> Ukraine military draft <obj> Disapprove,0.9611340761184692
84,"But Delhi Chief Minister Arvind Kejriwal called for an end to ""blame games and finger-pointing"" over responsibility for tackling the toxic smog choking the megacity of 20 million people, after India's's environment minister lambasted the Aam Aadmi Party (AAP), a rival to Prime Minister Narendra Modi's Bharatiya Janata Party for presiding over an increase in farm fires.",<triplet> India's's environment minister <subj> the Aam Aadmi Party <obj> Disapprove,0.651875913143158
85,"US Secretary of State Antony Blinken spoke to US Secretary of State Antony Blinken to ""commend outgoing Israel for outgoing Israel's free and fair elections, and to thank US Secretary of State Antony Blinken for US Secretary of State Antony Blinken's partnership,"" the State Department said in a statement.",<triplet> outgoing Israel <subj> outgoing Israel's free and fair elections <obj> Engage In Diplomatic Cooperation,0.6563212871551514
86,"""For expat Chinese, who aren’t home often, it is particularly unpleasant when expat Chinese, who aren’t home often are confronted with legal questions in an emergency,"" the article notes.",<triplet> expat Chinese <subj> expat Chinese <obj> Make Public Statement,0.5584983825683594
87,"In the World Meteorological Organization's August bulletin, the World Meteorological Organization stated that the probability of the current La Niña episode continuing was 70 percent for September to November, gradually decreasing to 55 percent for the following quarter, from December to February 2023by.",<triplet> the World Meteorological Organization <subj> the World Meteorological Organization's August bulletin <obj> Make Public Statement,0.5957946181297302
88,ISTANBUL: Turkish President Tayyip Erdogan said on Friday that Turkish President Tayyip Erdogan had agreed with Turkish President Tayyip Erdogan's Russian counterpart Vladimir Putin that Russian grains sent under the Black Sea export deal should go to poor African countries for free.,<triplet> Russian grains <subj> poor African countries <obj> Express Intend to Cooperate,0.9668280482292175
89,New Swedish Prime Minister Ulf Kristersson will visit Ankara on Tuesday to meet with President Erdogan in a trip that Stockholm hopes will lead to Turkey's approval.,<triplet> New Swedish Prime Minister Ulf Kristersson <subj> Ankara <obj> Consult,0.8457547426223755
90,"IN YOUR FACEAlready on frosty terms with Buenos Aires City Mayor Horacio Rodríguez Larreta, PRO chair Patricia Bullich pegged up Juntos por el Cambio opposition infighting a further notch last weekend when PRO chair Patricia Bullich told City Cabinet Chief Felipe Miguel that PRO chair Patricia Bullich would “smash City Cabinet Chief Felipe Miguel's face in” for calling City Cabinet Chief Felipe Miguel “functional to Kirchnerism. ”",<triplet> PRO chair Patricia Bullich <subj> City Cabinet Chief Felipe Miguel's face <obj> Fight,0.6480057239532471
91,Moscow also annexed Ukraine's Crimea peninsula in 2014.,<triplet> Moscow <subj> Ukraine's Crimea peninsula <obj> Coerce,0.9872490763664246
92,"Nike Those actions Friday night that Nike will halt Nike's relationship with Kyrie Irving, one day after Kyrie Irving was suspended by Brooklyn Nets for what Brooklyn Nets called a repeated failure to ""unequivocally say Kyrie Irving has no antisemitic beliefs. """,<triplet> Nike <subj> Nike's relationship <obj> Reduce Relations,0.9471595883369446
